entry_time,entry_time_utc,entry_hour_local,exit_time,exit_time_utc,direction,entry_price,exit_price,entry_reason,exit_reason,pnl_usd,pnl_pct,duration_minutes,position_size_usd
2026-06-11 05:30:00,2026-06-10 22:30:00,5,2026-06-11 06:15:00,2026-06-10 23:15:00,short,0.6164,0.621023,"Close (0.616400) > Upper BB (0.616138), below EMA200 (0.621083)",Stop Loss hit (0.75%),-6.984,-3.0,45.0,931.2
2026-06-11 06:15:00,2026-06-10 23:15:00,6,2026-06-11 08:00:00,2026-06-11 01:00:00,short,0.6197,0.624348,"Close (0.619700) > Upper BB (0.619009), below EMA200 (0.621001)",Stop Loss hit (0.75%),-6.9316,-3.0,105.0,924.22
2026-06-12 06:45:00,2026-06-11 23:45:00,6,2026-06-12 12:30:00,2026-06-12 05:30:00,long,0.6311,0.626367,"Close (0.631100) < Lower BB (0.631502), above EMA200 (0.626980)",Stop Loss hit (0.75%),-6.8796,-3.0,345.0,917.28
2026-06-14 08:15:00,2026-06-14 01:15:00,8,2026-06-14 11:30:00,2026-06-14 04:30:00,long,0.6374,0.63262,"Close (0.637400) < Lower BB (0.637553), above EMA200 (0.634214)",Stop Loss hit (0.75%),-6.828,-3.0,195.0,910.41
2026-06-16 05:45:00,2026-06-15 22:45:00,5,2026-06-16 10:45:00,2026-06-16 03:45:00,long,0.6472,0.656908,"Close (0.647200) < Lower BB (0.647716), above EMA200 (0.638571)",Take Profit hit (1.50%),13.5537,6.0,300.0,903.58
2026-06-20 05:30:00,2026-06-19 22:30:00,5,2026-06-20 10:00:00,2026-06-20 03:00:00,short,0.6332,0.623702,"Close (0.633200) > Upper BB (0.632836), below EMA200 (0.642882)",Take Profit hit (1.50%),13.757,6.0,270.0,917.13
2026-06-22 07:45:00,2026-06-22 00:45:00,7,2026-06-22 08:15:00,2026-06-22 01:15:00,short,0.6416,0.646412,"Close (0.641600) > Upper BB (0.641584), below EMA200 (0.642655)",Stop Loss hit (0.75%),-6.9817,-3.0,30.0,930.89
2026-06-27 07:30:00,2026-06-27 00:30:00,7,2026-06-28 02:30:00,2026-06-27 19:30:00,long,0.6266,0.621901,"Close (0.626600) < Lower BB (0.627099), above EMA200 (0.624190)",Stop Loss hit (0.75%),-6.9293,-3.0,1140.0,923.91
2026-06-30 06:15:00,2026-06-29 23:15:00,6,2026-06-30 09:00:00,2026-06-30 02:00:00,long,0.6259,0.621206,"Close (0.625900) < Lower BB (0.626437), above EMA200 (0.625820)",Stop Loss hit (0.75%),-6.8773,-3.0,165.0,916.98
2026-07-04 06:00:00,2026-07-03 23:00:00,6,2026-07-04 11:15:00,2026-07-04 04:15:00,long,0.6485,0.643636,"Close (0.648500) < Lower BB (0.649151), above EMA200 (0.639601)",Stop Loss hit (0.75%),-6.8257,-3.0,315.0,910.1
2026-07-12 05:30:00,2026-07-11 22:30:00,5,2026-07-12 06:30:00,2026-07-11 23:30:00,long,0.6297,0.624977,"Close (0.629700) < Lower BB (0.630216), above EMA200 (0.629123)",Stop Loss hit (0.75%),-6.7746,-3.0,60.0,903.27
2026-07-15 09:15:00,2026-07-15 02:15:00,9,2026-07-15 13:15:00,2026-07-15 06:15:00,long,0.6275,0.636912,"Close (0.627500) < Lower BB (0.628030), above EMA200 (0.626853)",Take Profit hit (1.50%),13.4475,6.0,240.0,896.5
2026-07-31 08:30:00,2026-07-31 01:30:00,8,2026-07-31 11:00:00,2026-07-31 04:00:00,long,0.6073,0.602745,"Close (0.607300) < Lower BB (0.607472), above EMA200 (0.606587)",Stop Loss hit (0.75%),-6.8246,-3.0,150.0,909.95
